misc,input,animations,measure,draw,sync,gpu,timestamp
0.533011,0.004577,9.246192,0.194808,2.260038,1.178193,6.652307,136451331255006
0.64124,0.004423,9.947692,0.2195,2.899808,1.041154,6.322769,136451347841008
0.792329,0.004154,8.954,0.230077,2.256616,1.092538,7.954038,136451364413149
1.528493,0.004384,8.070769,0.187039,1.924692,1.167654,7.263346,136451380988255
0.564012,0.004807,9.166462,0.204077,4.692346,1.011807,7.037,136451397573813
0.792329,0.004154,8.954,0.230077,2.256616,1.092538,7.954038,136451364413149
1.528493,0.004384,8.070769,0.187039,1.924692,1.167654,7.263346,136451380988255
0.564012,0.004807,9.166462,0.204077,4.692346,1.011807,7.037,136451397573813
0.484175,0.004577,10.0125,0.220884,8.54827,1.022307,5.833962,136451414139842
3.776499,0.003731,6.245616,0.216153,2.996231,1.234154,7.255769,136451430714825
0.602542,0.0045,9.135077,0.205269,2.753269,1.26577,7.493846,136451447274244
0.700447,0.004346,9.406539,0.2265,3.249577,1.168846,7.803846,136451463848531
0.638087,0.004269,9.031539,0.229961,3.360731,1.209116,7.421653,136451480412468
0.572403,0.0045,8.960615,0.200461,2.622347,0.97473,6.457039,136451496978345
0.497006,0.004461,9.297346,0.209923,2.910462,1.172231,8.546115,136451513550511
0.769722,0.004461,8.902539,0.194038,2.818077,1.109308,6.365615,136451530114641
0.944143,0.004692,9.115847,0.20923,2.287885,1.032038,5.971308,136451546686989
0.703597,0.004538,8.838846,0.209462,2.361461,0.988308,6.354923,136451563249343
0.605441,0.004308,9.4445,0.220692,3.147424,1.31173,7.903423,136451579812306
0.474011,0.004308,9.681423,0.187846,2.757923,1.014385,6.672154,136451596388813
0.597531,0.004423,8.853692,0.181192,2.296308,1.091308,5.706846,136451612959563
